"","headline","snippet","date","text_clean","keyword","framing_label"
"56","Over 1,800 'terrorist attacks' in West Africa in 2023: ECOWAS ...","Jul 26, 2023 ... Over 1,800 'terrorist attacks' in West Africa in 2023: ECOWAS. The West African bloc is set to discuss strengthening a regional standby force to ...","26 Jul 2023"," terrorist attacks west africa ecowas jul terrorist attacks west africa ecowas west african bloc set discuss strengthening regional standby force  ","Terrorism","Terrorism"
"57","'Pure terrorism': World reacts to Israeli settler attack in West Bank ...","Aug 16, 2024 ... 'Pure terrorism': World reacts to Israeli settler attack in West Bank. Deadly attack on Palestinian village of Jit sparks condemnation and calls ...","Last update 17 Aug 2024","pure terrorism world reacts israeli settler attack west bank aug pure terrorism world reacts israeli settler attack west bank deadly attack palestinian village jit sparks condemnation calls ","Terrorism","Terrorism"
"58","Austria drops bogus 'terrorism' charges against Muslim academic ...","Jan 11, 2023 ... “Terrorism” charges against an Austrian academic, Farid Hafez, have been dropped after an Al Jazeera documentary revealed the case was based on false evidence ...","Last update 11 Jan 2023","austria drops bogus terrorism charges muslim academic jan “terrorism” charges austrian academic farid hafez dropped al jazeera documentary revealed case based false evidence ","Terrorism","Terrorism"
"59","EU adds Saudi Arabia to draft 'terrorism financing' list: Report ...","Jan 25, 2019 ... The European Commission has added Saudi Arabia to a European Union draft list of countries that pose a threat to the bloc because of lax ...","Last update 25 Jan 2019","eu adds saudi arabia draft terrorism financing list report jan european commission added saudi arabia european union draft list countries pose threat bloc lax ","Terrorism","Terrorism"
"60","Pope urges Muslims to fight terrorism | News | Al Jazeera","Aug 20, 2005 ... Pope Benedict XVI has decried what he called cruel fanaticism of terrorism and urged Muslims to join Christians in trying to combat its ...","20 Aug 2005","pope urges muslims fight terrorism news al jazeera aug pope benedict xvi decried called cruel fanaticism terrorism urged muslims join christians trying combat  ","Terrorism","Terrorism"
"61","Libya asks world to help it fight 'terrorism' | News | Al Jazeera","Mar 20, 2014 ... “Libya's interim government asks the international community and especially the United Nations to provide assistance to uproot terrorism,” the ...","20 Mar 2014","libya asks world help fight terrorism news al jazeera mar “libyas interim government asks international community especially united nations provide assistance uproot terrorism”  ","Terrorism","Terrorism"
"62","Iran's Zarif to Trump: Drop 'economic terrorism' before talks ...","Aug 29, 2019 ... Kuala Lumpur, Malaysia – Iran will not be meeting with the administration of US President Donald Trump unless Washington stops its “economic ...","29 Aug 2019","irans zarif trump drop economic terrorism talks aug kuala lumpur malaysia – iran will meeting administration us president donald trump unless washington stops “economic ","Terrorism","Terrorism"
"63","New Zealand police 'terrorism raids unlawful' | News | Al Jazeera","May 22, 2013 ... New Zealand police 'terrorism raids unlawful'. Maori call for apology after report finds police intimidated people during anti-terrorism ...","22 May 2013","new zealand police terrorism raids unlawful news al jazeera may new zealand police terrorism raids unlawful maori call apology report finds police intimidated people antiterrorism ","Terrorism","Terrorism"
"64","Don't make the same anti-terrorism mistakes in Mali | Opinions | Al ...","Jan 15, 2013 ... Don't make the same anti-terrorism mistakes in Mali. Balancing the interests of stakeholders in the Malian polity will be difficult, however ...","15 Jan 2013","dont make antiterrorism mistakes mali opinions al jan dont make antiterrorism mistakes mali balancing interests stakeholders malian polity will difficult however ","Terrorism","Terrorism"
"65","Luigi Mangione pleads not guilty to 'terrorism' in US healthcare CEO ...","Dec 23, 2024 ... Luigi Mangione, the 26-year-old man accused of fatally shooting United Healthcare CEO Brian Thompson, has pleaded not guilty to New York state ...","23 Dec 2024","luigi mangione pleads guilty terrorism us healthcare ceo dec luigi mangione yearold man accused fatally shooting united healthcare ceo brian thompson pleaded guilty new york state ","Terrorism","Terrorism"
