headline,link,date,snippet,keyword
"US presses Israel on civilian deaths, move to 'lower intensity' war in ...",https://www.aljazeera.com/news/2023/12/15/us-presses-israel-on-civilian-deaths-move-to-lower-intensity-war-in-gaza,Last update 15 Dec 2023,US President Joe Biden has expressed concern over the civilian death toll in Gaza [File: Stephanie Scarbrough/AP Photo]. Published On 15 Dec 202315 Dec 2023.,Civilian casualties
Battle for Aleppo: Civilian casualties mount | News | Al Jazeera,https://www.aljazeera.com/news/2016/11/20/battle-for-aleppo-civilian-casualties-mount,20 Nov 2016,"Nov 20, 2016 ... A barrel bomb killed a family of six in rebel-held eastern Aleppo early on Sunday and rebel shelling took the lives of eight children at a school in the west.",Civilian casualties
UN reports rise in Afghan civilian casualties | Humanitarian Crises ...,https://www.aljazeera.com/news/2013/7/31/un-reports-rise-in-afghan-civilian-casualties,31 Jul 2013,"Jul 31, 2013 ... Bomb attacks remain the highest cause of civilian casualties, claiming 53 percent more victims than last year, most of them children. Increased ...",Civilian casualties
US military releases data on civilian harm in war on ISIL | Military ...,https://www.aljazeera.com/news/2020/11/18/us-military-releases-groundbreaking-data-on-civilian-harm-report,18 Nov 2020,"Nov 18, 2020 ... ... civilian casualties stemming from the war against ISIL on a regular basis. Advertisement. The US-led coalition forces took over these ...",Civilian casualties
July casualties in Afghanistan highest since May 2017: UNAMA ...,https://www.aljazeera.com/news/2019/8/3/july-casualties-in-afghanistan-highest-since-may-2017-unama,Last update 3 Aug 2019,"Aug 3, 2019 ... Afghanistan civilian casualties. According to the UN, civilians have been killed and injured by the operations of government forces as well ...",Civilian casualties
"Ukraine war reaches 500 days, UN laments 9,000 civilians killed ...",https://www.aljazeera.com/news/2023/7/8/more-than-9000-civilians-killed-as-ukraine-war-hits-500-days-un,Last update 8 Jul 2023,"Jul 8, 2023 ... UN Human Rights Monitoring Mission in Ukraine marks 500 days of war, deplores 'horrendous' civilian death toll.",Civilian casualties
US general backs Israel on Gaza casualties | Conflict News | Al ...,https://www.aljazeera.com/news/2014/11/6/us-general-backs-israel-on-gaza-casualties,6 Nov 2014,"Nov 6, 2014 ... Chairman of Joint Chiefs of Staff says Israel went to “extraordinary lengths” to limit civilian deaths during Gaza war.",Civilian casualties
'Unimaginable consequences': World reacts to Israel's strikes on ...,https://www.aljazeera.com/news/2024/9/24/unimaginable-consequences-world-reacts-to-israels-strikes-on-lebanon,Last update 24 Sep 2024,"Sep 24, 2024 ... ... civilian casualties”. His spokesman, Stephane Dujarric, told Al Jazeera that “it is not too late to go back to diplomacy”. Advertisement.",Civilian casualties
Syria: Reports of civilian deaths in US-led strikes | Armed Groups ...,https://www.aljazeera.com/news/2016/7/29/syria-reports-of-civilian-deaths-in-us-led-strikes,29 Jul 2016,"Jul 29, 2016 ... The reports on Friday come a day after the US-led coalition announced it had enough evidence of civilian casualties from its attacks on the ...",Civilian casualties
Afghan civilian death toll hits 'record high' | News | Al Jazeera,https://www.aljazeera.com/news/2012/2/4/afghan-civilian-death-toll-hits-record-high,4 Feb 2012,"Feb 4, 2012 ... UN mission in Afghanistan says 2011 was fifth straight year that number of dead has risen, with 3021 civilians killed.",Civilian casualties
UN raises alarm over Syria as opposition groups press Hama ...,https://www.aljazeera.com/news/2024/12/3/un-sounds-alarm-on-civilian-deaths-battered-health-system-in-syria-attacks,3 Dec 2024,"Dec 3, 2024 ... Civilian casualties. UN Secretary-General Antonio Guterres said he was “alarmed” by the escalation in violence and called for an immediate ...",Civilian casualties
Afghan civilian casualties 'hit record high' | Taliban News | Al Jazeera,https://www.aljazeera.com/news/2014/12/20/afghan-civilian-casualties-hit-record-high,Last update 21 Dec 2014,"Dec 20, 2014 ... Casualties jumped 19 percent by the end of November compared to the year before, with 3,188 civilians killed and 6,429 injured, the United ...",Civilian casualties
US will do 'anything we can' to limit civilian deaths | United Nations ...,https://www.aljazeera.com/news/2017/12/30/us-will-do-anything-we-can-to-limit-civilian-deaths,Last update 30 Dec 2017,"Dec 30, 2017 ... US vows to work with Saudi-led coalition to limit civilian casualties, after more than 100 deaths in the last 10 days.",Civilian casualties
The Lebanon pager attack: Israel's terror playbook strikes again ...,https://www.aljazeera.com/opinions/2024/9/18/the-lebanon-pager-attack-israels-terror-playbook-strikes-again,Last update 18 Sep 2024,"Sep 18, 2024 ... ... civilian casualties would ensue. But that is the whole point of terrorism, is it not? Hezbollah, it bears underscoring, owes its entire ...",Civilian casualties
